8,72
62,81
31,15
77,95
65,49
1,33
43,51
24,36
91,86
22,26
82,59
79,29
4,63
10,11
40,13
30,29
44,47
62,23
98,78
25,69
17,8
96,54
96,28
85,1
6,42
98,13
2,38
8,67
18,46
10,56
8,81
49,94
94,60
43,58
39,78
36,4
52,98
45,15
38,65
27,64
11,10
97,64
86,16
73,12
97,62
60,97
91,80
79,88
51,37
21,65
50,31
21,34
24,74
10,93
86,51
96,88
100,23
4,53
99,53
77,93
46,70
46,24
81,92
56,70
14,12
99,82
97,28
83,67
75,5
43,77
53,7
91,80
89,56
100,26
19,60
10,99
20,55
36,19
78,39
81,98
50,41
70,88
6,96
42,72
48,84
62,11
97,44
6,17
85,91
38,73
24,52
94,59
40,65
33,62
98,62
48,29
31,79
76,41
80,5
10,28
91,46
69,12
45,89
36,99
27,71
5,70
94,95
41,41
61,42
90,96
31,45
61,67
20,20
21,6
13,79
39,85
85,71
76,71
26,7
36,40
37,99
22,11
65,90
82,76
94,55
51,67
80,47
11,57
45,68
16,68
60,21
12,62
6,64
86,97
20,8
94,63
67,30
92,91
51,92
92,99
50,33
9,76
45,84
5,3
26,13
34,5
72,40
14,94
6,55
72,15
67,95
14,79
62,87
70,96
57,44
2,18
46,81
78,74
17,27
31,48
95,15
27,15
49,38
79,1
46,27
81,34
72,21
35,90
36,98
96,57
31,28
12,35
28,8
14,53
89,11
35,19
26,22
52,96
53,20
25,17
67,24
3,75
94,64
41,63
72,35
29,30
84,22
10,38
76,68
54,88
58,38
13,90
23,89
27,53
27,2
47,54
61,97
82,12
39,91
36,87
73,88
95,7
17,59
79,10
10,36
27,55
41,26
50,84
11,7
57,100
72,32
91,9
71,20
87,19
74,88
3,47
26,82
53,100
37,6
69,93
34,24
17,37
47,24
34,81
99,72
96,16
28,37
7,26
37,11
16,34
30,27
100,71
46,62
7,76
41,26
42,18
78,7
23,84
55,5
9,88
53,59
29,41
95,12
98,37
78,96
42,44
29,29
82,82
48,94
96,80
79,56
76,43
23,31
26,9
5,35
22,55
66,40
89,43
74,62
34,47
1,56
79,23
20,66
65,5
91,79
15,11
89,63
89,52
73,95
99,46
76,62
92,97
19,9
80,97
72,75
69,92
82,32
59,43
61,36
19,98
6,54
84,20
43,86
53,77
94,38
63,64
78,57
92,14
73,91
3,90
13,4
38,24
14,91
61,2
85,93
45,80
61,60
99,18
26,100
85,29
67,95
7,25
53,96
8,81
35,39
38,10
83,24
24,43
55,96
39,48
47,47
34,20
17,32
7,7
36,25
65,45
50,65
66,52
54,2
86,93
34,28
30,54
67,80
56,23
25,4
13,86
43,47
29,5
61,17
41,48
100,44
95,92
79,5
63,9
22,85
88,7
52,11
46,16
9,96
6,99
75,3
84,66
80,38
35,100
57,80
1,31
81,77
15,8
15,40
71,40
49,32
44,20
58,69
42,82
33,87
9,32
37,37
80,7
76,7
98,26
59,14
52,48
54,68
12,66
88,43
24,95
82,38
38,67
97,10
31,94
88,44
9,1
52,47
5,29
68,68
69,91
47,19
74,17
55,55
65,2
94,60
68,47
32,59
16,89
54,3
10,99
9,71
9,91
7,19
82,7
5,26
53,97
74,71
35,98
57,65
19,68
43,84
34,44
96,14
10,84
26,19
8,48
88,5
29,16
57,20
48,80
37,95
65,14
5,96
17,70
50,55
99,19
90,34
3,27
5,22
15,6
21,78
63,71
61,68
3,71
84,74
64,6
12,14
38,7
90,47
86,28
2,91
13,4
95,84
7,55
68,3
87,38
23,30
84,57
35,55
53,91
56,55
48,79
82,10
82,2
65,77
33,11
4,25
25,39
27,33
65,92
24,40
18,100
56,64
44,83
9,68
76,57
12,19
39,95
82,61
40,43
33,86
95,33
82,48
37,35
43,58
88,78
36,15
14,82
90,72
90,26
62,21
32,31
44,54
84,20
94,51
20,14
73,16
96,13
83,92
37,6
97,65
8,31
88,88
94,95
54,50
51,86
83,43
12,28
99,93
29,61
27,30
14,69
37,63
72,68
18,63
52,84
48,71
82,27
95,87
7,44
38,27
21,10
86,65
84,83
53,5
65,94
88,51
49,25
4,72
17,74
35,43
23,41
36,44
70,27
30,3
77,41
96,47
59,88
20,57
17,69
79,51
23,66
9,22
93,8
8,45
15,59
92,94
71,80
61,57
12,79
7,61
47,25
60,17
70,69
29,73
7,68
76,100
45,15
67,30
52,53
16,10
92,84
84,15
96,2
59,12
15,37
2,30
99,14
74,46
4,69
92,73
38,90
86,97
76,89
13,28
5,85
36,16
4,41
66,24
63,57
65,46
46,40
82,90
38,51
45,64
76,66
84,78
60,11
58,21
69,23
34,19
26,35
9,89
42,83
60,58
23,35
41,59
14,82
42,45
26,86
9,42
20,11
21,46
38,61
55,94
41,32
100,84
95,61
52,70
55,26
72,43
7,93
38,35
75,20
96,92
41,76
13,79
86,99
98,73
84,80
62,4
69,39
98,88
14,3
94,86
2,19
47,88
39,7
52,50
31,92
98,2
10,83
5,100
93,12
86,24
85,62
36,8
79,56
54,86
73,11
29,89
65,97
97,25
80,23
42,21
22,94
73,22
64,44
29,5
18,3
6,41
8,29
21,50
33,93
22,15
37,45
76,58
8,56
56,32
31,11
6,60
23,91
4,97
68,56
93,44
95,13
42,3
21,90
24,45
85,75
34,96
89,65
5,90
14,5
43,32
20,26
32,14
62,15
76,43
97,51
75,60
80,62
14,85
14,56
96,75
62,74
94,59
21,75
53,84
29,71
98,98
63,66
15,82
4,89
24,9
69,88
35,33
39,18
65,89
17,38
79,13
63,87
67,67
37,39
49,78
60,55
59,55
85,10
26,84
12,46
68,7
37,14
4,100
34,6
95,20
68,81
51,92
91,79
50,78
41,63
12,26
68,34
62,76
28,91
16,85
17,52
3,34
